,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72
global1,0.40099,0.10032,0.07051,0.05534,0.04272,0.02753,0.02593,0.02108,0.0195,0.01648,0.01463,0.01297,0.01219,0.01087,0.01061,0.00992,0.0093,0.00822,0.00732,0.00689,0.00627,0.00589,0.00559,0.00519,0.00518,0.00453,0.00424,0.00412,0.00388,0.0038,0.00363,0.00356,0.00317,0.00304,0.00294,0.00289,0.00263,0.00255,0.00245,0.00236,0.00227,0.00219,0.00214,0.002,0.00189,0.00178,0.00176,0.00171,0.00155,0.00153,0.00149,0.00145,0.00134,0.00133,0.00125,0.00119,0.00116,0.00112,0.00107,0.001,0.00096,0.00089,0.00083,0.00081,0.00076,0.00074,0.00068,0.00061,0.00054,0.00042,3e-04,0
global2,0.0923,0.075,0.06195,0.04313,0.03967,0.03547,0.03389,0.02965,0.02724,0.02487,0.02312,0.02271,0.02174,0.02032,0.01875,0.01764,0.01672,0.01606,0.01575,0.01452,0.01416,0.01402,0.01367,0.01298,0.01243,0.01184,0.01126,0.01086,0.01066,0.0105,0.01,0.00962,0.00935,0.00892,0.00885,0.00846,0.00807,0.00765,0.00761,0.00722,0.00709,0.00703,0.00666,0.00628,0.00606,0.00597,0.0059,0.00571,0.00553,0.00549,0.00514,0.00501,0.00474,0.00472,0.00468,0.00445,0.00434,0.00426,0.00414,0.00403,0.00389,0.00372,0.00362,0.00343,0.0033,0.00319,0.00308,0.00273,0.00258,0.00249,0.00211,0
global3,0.44999,0.09725,0.05904,0.05137,0.03209,0.02978,0.0273,0.02149,0.01797,0.01526,0.01325,0.01204,0.01021,0.00913,0.00839,0.00813,0.00741,0.00705,0.00638,0.00555,0.00507,0.00494,0.00459,0.00432,0.00416,0.00397,0.00387,0.00376,0.00367,0.0035,0.00337,0.00306,0.00298,0.00286,0.0028,0.00263,0.00257,0.00252,0.00238,0.00229,0.00228,0.00212,0.00202,0.00198,0.0019,0.00188,0.00181,0.00174,0.00169,0.00164,0.00163,0.00155,0.00148,0.00142,0.00141,0.00136,0.00123,0.0012,0.00116,0.00113,0.00111,0.00108,0.00098,0.00095,0.00088,0.00085,0.00081,7e-04,0.00064,0.00052,0.00046,0
global4,0.31458,0.17614,0.09979,0.05015,0.04096,0.03126,0.02722,0.0229,0.02187,0.01644,0.01545,0.01274,0.01152,0.01063,0.00941,0.00886,0.00777,0.00741,0.00694,0.00649,0.00593,0.0056,0.00543,0.00509,0.00489,0.00418,0.0038,0.00359,0.0035,0.00343,0.00328,0.00305,0.00286,0.00275,0.00261,0.00255,0.00233,0.0022,0.00202,0.00198,0.00191,0.00173,0.00168,0.00165,0.00154,0.00147,0.00141,0.00138,0.00132,0.00127,0.00119,0.00115,0.00107,0.001,0.00098,0.00095,0.00086,0.00085,0.00077,0.00076,0.00072,0.00067,0.00062,0.00057,0.00054,0.00051,0.00048,4e-04,0.00037,0.00032,0.00029,0
global5,0.61068,0.10622,0.05063,0.0292,0.02413,0.02237,0.01682,0.015,0.01035,0.00852,0.0081,0.00779,0.00665,0.00549,0.00495,0.00462,0.00419,0.00409,0.00381,0.00343,0.00301,0.0029,0.00272,0.00264,0.0025,0.00234,0.00216,0.00194,0.0019,0.00183,0.00165,0.00164,0.00145,0.00137,0.00129,0.00127,0.00115,0.00112,0.00111,0.00104,0.00097,0.00095,0.00087,0.00087,0.00083,8e-04,0.00076,0.00072,0.00066,0.00063,6e-04,0.00056,0.00055,0.00052,5e-04,0.00047,0.00044,0.00044,0.00041,0.00041,0.00036,0.00035,0.00033,0.00031,3e-04,0.00028,0.00027,0.00026,0.00022,0.00019,0.00015,0
global6,0.47601,0.09195,0.07817,0.04216,0.03654,0.03106,0.0239,0.01944,0.01477,0.01432,0.01212,0.01075,0.00958,0.00864,0.00841,0.00745,0.00699,0.00617,0.00587,0.00574,0.0054,0.00459,0.00438,0.004,0.00391,0.00379,0.00356,0.0033,0.00308,0.0029,0.00287,0.00258,0.00255,0.00247,0.0024,0.00218,0.00207,0.00205,0.0019,0.00175,0.00167,0.00164,0.00157,0.00151,0.00147,0.00137,0.00127,0.00125,0.00118,0.0011,0.00105,0.00103,0.00099,0.00094,0.00088,0.00087,0.00084,0.00079,0.00077,7e-04,0.00067,0.00064,0.00058,0.00057,0.00055,0.00052,0.00046,0.00041,0.00038,0.00033,0.00028,0
global7,0.52976,0.11969,0.07145,0.04143,0.03088,0.02656,0.02246,0.01666,0.01378,0.01071,0.00901,0.00849,0.00682,0.00624,0.00586,0.00542,0.00518,0.00499,0.00411,0.00353,0.00333,0.00301,0.00284,0.00271,0.00258,0.0023,0.00228,0.00215,0.00208,0.00195,0.00187,0.00167,0.00161,0.00153,0.00148,0.00141,0.00131,0.00122,0.0012,0.00112,0.00107,0.00101,0.00096,0.00096,0.00092,0.00086,0.00079,0.00073,0.00071,0.00068,0.00065,0.00062,6e-04,0.00057,0.00053,0.00052,0.00048,0.00047,0.00044,0.00042,0.00041,0.00038,0.00037,0.00035,0.00034,3e-04,0.00029,0.00026,0.00024,0.00022,0.00018,0
global8,0.45196,0.0901,0.0858,0.05854,0.04018,0.02868,0.02265,0.01988,0.01627,0.01243,0.01062,0.01027,0.00974,0.00874,0.00802,0.00721,0.00653,0.006,0.00561,0.00542,0.00508,0.00497,0.00451,0.00419,0.00403,0.00371,0.00352,0.00339,0.00321,0.00302,0.00286,0.00277,0.00268,0.00245,0.00243,0.00229,0.00218,0.00215,0.002,0.00196,0.00185,0.00176,0.00173,0.00159,0.00156,0.00153,0.00142,0.00133,0.0013,0.00126,0.00122,0.00112,0.0011,0.00103,0.00097,0.00094,0.00094,0.00091,0.00085,0.00081,0.00077,0.00074,0.00074,0.00068,0.00065,0.00062,0.00062,0.00056,0.00052,0.00048,0.00035,0
global9,0.45839,0.09332,0.06495,0.05526,0.03931,0.02817,0.02216,0.01996,0.019,0.01571,0.0142,0.01349,0.01028,0.00843,0.0082,0.00775,0.00739,0.00636,0.00595,0.00547,0.00525,0.00478,0.00451,0.00415,0.00412,0.00382,0.00367,0.00356,0.00338,0.00301,0.00295,0.00284,0.00274,0.00267,0.00257,0.00228,0.00223,0.00219,0.00198,0.00194,0.00183,0.00172,0.00171,0.00155,0.00154,0.0015,0.00143,0.00137,0.00133,0.00123,0.00119,0.00114,0.0011,0.00106,0.00101,0.00095,0.00093,9e-04,0.00082,0.00077,0.00075,0.00073,0.00068,0.00066,0.00063,0.00061,6e-04,0.00058,0.00053,0.00049,0.00029,0
global10,0.49811,0.09012,0.06156,0.03872,0.03093,0.02592,0.02291,0.01791,0.01474,0.01313,0.012,0.01051,0.00996,0.00954,0.00807,0.00767,0.00737,0.00665,0.00589,0.0055,0.00536,0.00469,0.00463,0.0042,0.00411,0.00399,0.0037,0.00349,0.00327,0.00322,0.00313,0.00307,0.00286,0.0026,0.00258,0.0025,0.0023,0.00219,0.00208,0.00207,0.00201,0.00195,0.00193,0.00186,0.0017,0.00166,0.00161,0.00155,0.00144,0.00142,0.00134,0.00128,0.00125,0.00124,0.00119,0.00117,0.00113,0.00106,0.00102,0.00099,0.00097,9e-04,0.00086,0.00084,0.00078,0.00077,0.00074,7e-04,0.00066,0.00042,0.00031,0
